"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"LusherFish",317,307,307,310,137,304,207,311,128
"LusherSediment",635,532,532,440,79,557,276,511,70
"LusherMussels",303,272,272,272,89,211,116,248,66
"BrateMussels",140,133,133,126,38,123,88,115,20
"Primpke1",120,86,86,56,6,67,48,42,2
"Primpke2",60,58,58,56,14,58,31,55,7
"Primpke3",57,54,54,56,11,54,28,54,9
"Raingarden1",178,158,158,122,26,143,105,104,11
"Raingarden2",73,60,60,63,15,61,27,47,4
"Raingarden3",316,311,311,244,47,312,139,248,38
