"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"LusherFish",317,247,247,207,40,141,46,190,24
"LusherSediment",635,344,344,286,34,355,175,312,23
"LusherMussels",303,153,153,163,36,140,70,147,25
"BrateMussels",140,88,88,77,17,68,34,54,7
"Primpke1",120,86,86,56,6,67,48,42,2
"Primpke2",60,49,49,40,5,48,23,42,4
"Primpke3",57,48,48,45,7,36,14,39,3
"Raingarden1",178,116,116,99,16,77,39,83,6
"Raingarden2",73,60,60,63,15,61,27,52,5
"Raingarden3",316,227,227,180,29,217,74,138,11
