"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"LusherFish",317,21,21,44,4,38,8,92,4
"LusherSediment",635,21,21,66,6,29,12,64,3
"LusherMussels",303,21,21,39,5,30,15,42,4
"BrateMussels",140,22,22,28,5,26,13,34,4
"Primpke1",120,12,12,39,3,19,6,42,2
"Primpke2",60,19,19,27,3,22,10,27,2
"Primpke3",57,20,20,27,3,21,7,19,1
"Raingarden1",178,21,21,39,3,36,13,46,2
"Raingarden2",73,17,17,27,3,23,8,31,2
"Raingarden3",316,27,27,32,2,18,4,27,1
"VidalBeach1",648,1,1,13,1,4,1,46,2
"VidalBeach2",65,4,4,12,2,12,3,26,3
