"dataset","totparticles","randnum","randper","colnum","colper","shpnum","shpper","shpcolnum","shpcolper"
"LusherFish",317,28,28,64,6,57,13,103,5
"LusherSediment",635,73,73,156,15,77,36,162,9
"LusherMussels",303,61,61,84,15,54,27,84,11
"BrateMussels",140,48,48,53,11,48,24,48,6
"Primpke1",120,30,30,51,5,39,20,54,4
"Primpke2",60,34,34,40,5,38,18,35,3
"Primpke3",57,35,35,37,5,34,13,39,3
"Raingarden1",178,52,52,69,8,56,23,83,6
"Raingarden2",73,34,34,39,6,35,14,41,3
"Raingarden3",316,50,50,52,4,30,7,46,2
