Particle no.,Size range,Color,Morphology,Particle.type,Particle.type.broad
1,0.83,blue,fragment,polyethylene,P
2,0.18,yellow,fragment,paint ,A
3,1.02,blue,fiber,anthropogenic,A
4,0.23,yellow,fragment,paint ,A
5,0.3,red,fragment,paint ,A
6,0.4,clear,fragment,mineral,N
7,0.22,blue,fragment,polyethylene,P
8,0.33,blue,fragment,polyethylene,P
9,0.45,white,fragment,natural,N
10,0.51,blue,fragment,polyethylene,P
11,1.9,black,fiber,polyurethane,P
12,1.06,pink,fiber,polypropylene,P
13,0.33,blue,fragment,mineral,N
14,0.31,blue,fragment,polyethylene,P
15,0.5,red,fragment,polyester,P
16,3.9,blue,fiber,anthropogenic,A
17,1.1,blue,fiber,acrylic,P
18,0.5,red,fragment,paint ,A
19,5.5,black,fiber,anthropogenic,A
20,1.2,black,rubber,rubber,P
21,0.26,blue,fragment,polyethylene,P
22,0.38,orange,fragment,paint ,A
23,0.98,blue,fiber,anthropogenic,A
24,0.47,blue,fragment,ethylene-propylene copolymer,P
25,0.3,blue,fragment,anthropogenic,A
26,0.74,clear,fragment,polypropylene,P
27,0.56,blue,fiber_bundle,polyester-cotton blend,P
28,2.8,blue,fiber,anthropogenic,A
29,1.1,blue,fiber,anthropogenic,A
30,1.7,blue,fiber,polyester-cotton blend,P
31,0.56,black,rubber,rubber,P
32,1.1,blue,fiber,polyester-cotton blend,P
33,0.28,yellow,fragment,polyurethane,P
34,0.56,yellow,fragment,polyurethane,P
35,0.5,blue_clear,fiber,polyester,P
36,2.4,pink,fiber,acrylic,P
37,1.1,blue,fiber,polyester-cotton blend,P
38,1.2,blue,fiber,polyester-cotton blend,P
39,2.7,clear,fiber,polyester,P
40,4.1,green,fiber,PMHS,P
41,2.2,pink,fiber,anthropogenic,A
42,2.1,blue,fiber,acrylic,P
43,1.2,blue,fiber,acrylic,P
44,4.4,blue,fiber,anthropogenic,A
45,2.17,black,fiber,cellulose,A
46,40.923,white_grey,fiber,acrylic,P
47,5.7,white,fiber,cellulose,N
48,4.325,white,fiber,polypropylene,P
49,8.216,black,fiber,polyester,P
50,1.8,silver,fiber,anthropogenic,A
51,1.773,black,fiber,cellulose,A
52,4.46,white,fiber,polyester,P
53,2.1,black,fiber,anthropogenic,A
54,3.1,black,fiber,polyester,P
55,1.6,black,fiber,natural,A
56,4.7,white,fiber,anthropogenic,A
57,3.3,black,fiber,polyurethane,P
58,4.2,black,fiber,anthropogenic,A
59,3.6,black,fiber,natural,A
60,21.584,white,fiber,polyester,P
61,11.652,purple,fiber,polyester,P
62,0.56,black,fiber,natural,A
63,7.4,red,fiber,anthropogenic,A
64,8.3,black,fiber,natural,A
65,6,black,fiber,anthropogenic,A
66,3.631,brown,fiber,anthropogenic,A
67,2.1,blue,fiber,cellulose,A
68,5.5,red,fiber,acrylic,P
69,9.2,white,fiber,PTFE,P
70,na,white,fiber,unknown,N
71,11.5,green,fiber,anthropogenic,A
72,5.8,black,fiber,anthropogenic,A
73,34.672,black,fiber,anthropogenic,A
74,1.5,black,fiber,anthropogenic,A
75,0.826,black,fiber,anthropogenic,A
76,4.2,black,fiber,anthropogenic,A
77,6.5,black,fiber,anthropogenic,A
78,4.95,black,fiber,anthropogenic,A
79,2.99,green,fiber,anthropogenic,A
80,6.3,blue,fiber,anthropogenic,A
81,6.838,green,fiber,anthropogenic,A
82,1.117,black,fiber,anthropogenic,A
83,5.5,white,fiber,cellulose,N
84,2.2,black,fiber,anthropogenic,A
85,5.5,grey,fiber,anthropogenic,A
86,2.3,black,fiber,anthropogenic,A
87,bundle ,white_grey,fiber_bundle,anthropogenic,A
88,0.903,black,fiber,anthropogenic,A
89,3.184,black,fiber,anthropogenic,A
90,2.101,black,fiber,anthropogenic,A
91,2.557,black,fiber,anthropogenic,A
92,2.079,black,fiber,anthropogenic,A
93,4.455,white,fiber,anthropogenic,A
94,5.679,blue,fiber,anthropogenic,A
95,2.207,black,fiber,anthropogenic,A
96,2.57,black,fiber,anthropogenic,A
97,1.504,black,fiber,anthropogenic,A
98,5.829,black,fiber,anthropogenic,A
99,4.684,blue,fiber,anthropogenic,A
100,2.178,black,fiber,anthropogenic,A
101,1.605,black,fiber,anthropogenic,A
102,4.417,black,fiber,anthropogenic,A
103,1.454,black,fiber,anthropogenic,A
104,6.53,white,fiber,anthropogenic,A
105,3.272,black,fiber,anthropogenic,A
106,3.78,brown_black,fiber,cellulose,A
107,1.693,black,fiber,anthropogenic,A
108,bundle,grey,fiber_bundle,anthropogenic,A
109,0.361,clear,sphere,mineral,N
110,2.213,black,fiber,anthropogenic,A
111,5.395,multicolor,fiber,anthropogenic,A
112,1.197,blue_white,fiber,anthropogenic,A
113,3.403,green,fiber,anthropogenic,A
114,9.089,white,fiber,anthropogenic,A
115,0.937,black,fiber,anthropogenic,A
116,15.307,black,fiber,anthropogenic,A
117,2.602,black,fiber,anthropogenic,A
118,1.901,black,fiber,anthropogenic,A
119,1.867,black,fiber,anthropogenic,A
120,2.973,blue,fiber,polyester,P
121,2.542,black,fiber,anthropogenic,A
122,1.209,black,fiber,anthropogenic,A
123,2.019,black,fiber,anthropogenic,A
124,0.842,black,fiber,anthropogenic,A
125,2.545,black,fiber,anthropogenic,A
126,0.741,white,fragment,polyethylene,P
127,9.798,black,fiber,anthropogenic,A
128,1.889,purple,fiber,cellulose,A
129,1.266,black,fiber,anthropogenic,A
130,1.389,black,fiber,anthropogenic,A
131,na,clear,fiber,unknown,N
132,missing ,clear,fiber,natural,N
133,1.773,black,fiber,anthropogenic,A
134,0.859,red,fiber,anthropogenic,A
135,1.491,clear,fragment,polyester,P
136,2.8,blue,fiber,anthropogenic,A
137,3.076,black,fiber,anthropogenic,A
138,2.567,green,fiber,anthropogenic,A
139,5.153,clear,fiber,polyester,P
140,3.192,clear,fiber,natural,N
141,1.13,black,fiber,anthropogenic,A
142,2.662,clear,fiber,natural,N
143,1.059,black,fiber,anthropogenic,A
144,1.509,clear,fiber,cellulose,N
145,1.597,white,fragment,mineral,N
146,3.567,red,fiber,anthropogenic,A
147,3.7,multicolor,fragment,anthropogenic,A
148,0.8,blue,fragment,anthropogenic,A
149,7.7,black,fiber,anthropogenic,A
150,6.2,blue,fiber,cellulose,A
151,7.5,black,fiber,anthropogenic,A
152,5.9,black,fiber,anthropogenic,A
153,5.3,black,fiber,anthropogenic,A
154,5,white,fiber,natural,N
155,2.5,white,fiber,cellulose,N
156,9.38,red,fiber,anthropogenic,A
157,1.3,blue,fragment,POM,N
