Particle no.,Size range,Color,Morphology,Particle.type,Particle.type.broad
1,0.59,black,rubber,rubber,P
2,1.2,black,rubber,rubber,P
3,0.62,black,rubber,rubber,P
4,0.43,black,rubber,rubber,P
5,0.92,black,rubber,rubber,P
6,0.47,black,rubber,rubber,P
7,na,white,fragment,natural,N
8,1.1,black,rubber,rubber,P
9,1.3,blue,fiber,polyester,P
10,1.7,black,fiber,polyester,P
11,0.85,black,rubber,rubber,P
12,0.89,blue,fiber,anthropogenic,A
13,0.46,white,fragment,polystyrene,P
14,0.91,black,rubber,rubber,P
15,0.08,blue,fragment,anthropogenic,A
16,1.4,green,fiber,cellulose,A
17,1.2,pink,fiber,anthropogenic,A
18,1.1,black,rubber,rubber,P
19,1.5,blue,fiber,anthropogenic,A
20,1.1,blue,fiber,cellulose,A
21,0.5,black,rubber,rubber,P
22,1.1,black,rubber,rubber,P
23,1.4,blue,fiber,anthropogenic,A
24,0.67,blue,fragment,anthropogenic,A
25,1.3,black,fiber,anthropogenic,A
26,1.3,black,rubber,rubber,P
27,0.7,blue,fragment,mineral,N
28,0.83,blue,fragment,mineral,N
29,0.51,blue,fragment,polethylene,P
30,1.38,blue,fiber,anthropogenic,A
31,2.4,blue,fiber,anthropogenic,A
32,1.7,black,rubber,rubber,P
33,2.7,green,fiber,anthropogenic,A
34,1.42,blue,fiber,anthropogenic,A
35,0.6,black,fragment,asphalt,A
36,1.16,black,rubber,rubber,P
37,1.31,blue,fiber,anthropogenic,A
38,2.77,pink,fiber,polyester,P
39,1.9,black,rubber,rubber,P
40,6.3,black,fiber,anthropogenic,A
41,3.9,black,fiber,anthropogenic,A
42,0.8,blue,fiber,anthropogenic,A
43,1.1,red,fragment,anthropogenic,A
44,0.95,black,rubber,rubber,P
45,1.99,blue,fiber,anthropogenic,A
46,1.1,blue,fiber,anthropogenic,A
47,1.8,blue,fiber,anthropogenic,A
48,1.2,yellow,fiber,polyester,P
49,4.8,black,fiber,anthropogenic,A
50,4.6,blue,fiber,anthropogenic,A
51,2.8,blue,fiber,anthropogenic,A
52,0.58,black,rubber,rubber,P
53,1.7,black,rubber,rubber,P
54,1.5,black,rubber,rubber,P
55,2.39,black,rubber,rubber,P
56,1.3,blue,fragment,anthropogenic,A
57,9.617,red,fiber,cellulose,A
58,1.933,blue,fiber,cellulose,A
59,0.663,blue,fiber,anthropogenic,A
60,2.585,grey,fiber,anthropogenic,A
61,10.84,black,fiber,polyester,A
62,1.858,white,fiber,cellulose,N
63,4.995,blue,fiber,anthropogenic,A
64,clumped - can't measure,red,fiber,polyester,P
65,3.142,blue,fiber,unknown,N
66,2.259,black,fiber,anthropogenic,A
67,1.168,red,fiber,cellulose,A
68,2.543,blue,fiber,cellulose,A
69,6.659,black,fiber,anthropogenic,A
70,5.39,red,fiber,anthropogenic,A
71,2.094,blue_black,fiber,anthropogenic,A
72,2.551,black,fiber,anthropogenic,A
73,11.294,white,fiber,acrylic,P
74,4.423,white,fiber,polyester,P
75,3.34,red,fiber,anthropogenic,A
76,12.639,white,fiber,anthropogenic,N
77,2.457,white,fiber,cellulose,N
78,1.636,blue,fiber,anthropogenic,A
79,4.525,black_orange,foam,anthropogenic,A
80,1.186,black,rubber,rubber,P
81,6.001,black,fiber,anthropogenic,A
82,4.775,grey,fiber,anthropogenic,A
83,5.986,green,fiber,polyurethane,P
84,3.561,white,fiber,cellulose,N
85,3.671,white,fiber,cellulose,N
86,4.225,red,fragment,natural,N
87,15.155,green,fiber,anthropogenic,A
88,3.498,blue_black,fiber,anthropogenic,A
